,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20
164,18.31410616,18.58961987,18.84828611,19.0909814,19.31856097,19.53185476,19.73166449
165,17.04388459,18.43326878,19.93640673,21.5626102,23.32195288,25.22533262,27.28453888
166,100.1787364,102.2831672,104.2653329,106.1306006,107.8843895,109.5321087,111.0791073
167,15.4655932,15.69318032,15.90694184,16.10759717,16.29584728,16.47237168,16.63782624
168,61.21103643,63.89509936,66.46259477,68.91225696,71.24416683,73.4594953,75.56028321
169,29439.4406,30506.08848,31572.25028,32637.82858,33702.72956,34766.86209,35830.13693
170,1429.968745,1448.228909,1464.001513,1477.421113,1488.6152,1497.704461,1504.96018
171,9.534970595,9.857642739,10.17641277,10.49121277,10.8019934,11.1087212,11.41137613
172,685.565587,736.646747,787.4355498,837.7313618,887.3675519,936.2073872,984.1401984
173,394.1393099,406.5975552,418.5539426,430.0171015,440.9975265,451.5071623,461.5590546
174,1018.884049,1075.385366,1133.724256,1193.941024,1256.076343,1320.171225,1386.266976
175,6909.219066,6977.573275,7038.649386,7092.785928,7140.319617,7181.582689,7216.90068
176,1017.779589,1142.018634,1277.391284,1424.704029,1584.819202,1758.64999,1947.158498
177,6512.933057,6811.423961,7106.775901,7398.454394,7685.996355,7969.005636,8247.148187
178,3896.715639,4104.157125,4313.240224,4523.694305,4735.269137,4947.734125,5160.877369
179,2.238462964,2.304808339,2.37084679,2.436571335,2.501976251,2.567056904,2.631809586
180,162.5767222,167.3444887,171.9655765,176.4416498,180.7748146,184.967533,189.0225507
181,12734.64279,14019.12891,15339.70566,16696.3569,18089.32448,19519.01324,20985.93035
182,5325.503364,5461.121961,5589.658256,5711.3019,5826.26951,5934.797433,6037.135719
183,7875.464147,8175.134558,8466.541323,8753.463037,9040.854564,9328.377433,9615.710207
184,18885.87968,19520.11287,20144.17933,20758.16913,21362.17446,21956.28914,22540.60844
185,4044.53754,4375.783217,4729.325371,5106.308891,5507.906188,5935.314575,6389.753198
186,7686.37102,8079.018986,8478.453279,8884.747425,9297.975373,9718.211259,10145.52923
187,27369.89271,30541.05433,33708.44894,36864.70495,40005.46261,43127.65559,46228.82089
188,135.6205424,137.8995053,140.0413179,142.0526975,143.9402803,145.7105735,147.3699176
189,15.96198591,16.1191282,16.26820965,16.40941939,16.54298343,16.66915528,16.78820807
190,12.77013733,12.90298591,13.03242787,13.15788338,13.27892534,13.39525386,13.50667432
191,378.6941204,387.4154121,396.1268337,404.8280049,413.5185463,422.198081,430.8662311
192,6334.685843,6882.892268,7462.363012,8074.167684,8719.385263,9399.098808,10114.39119
193,311.0893382,317.3879799,323.4155488,329.1808552,334.6928642,339.9606083,344.9931147
194,5172.271656,5581.748475,6013.11557,6467.384318,6945.605054,7448.866566,7978.295594
195,11.07626693,11.10339585,11.13011564,11.1563978,11.18221993,11.20756485,11.2324198
196,3650.105554,3960.354881,4293.640225,4651.528881,5035.684959,5447.873901,5889.967096
197,914.7531637,965.3126124,1019.37297,1075.877275,1134.407767,1194.777257,1256.880171
198,1332.146003,1363.618288,1394.767382,1425.590861,1456.086371,1486.251671,1516.084608
199,217.1919927,455.1376691,778.3245714,1191.651766,1706.829247,2339.653705,3109.256286
200,2311.784528,2353.076311,2392.588629,2430.376349,2466.496052,2501.005349,2533.962304
201,180058.5588,182930.6915,185600.9215,188082.2346,190386.9053,192526.4989,194511.8867
202,230.820701,235.2900726,239.6261809,243.83219,247.9112995,251.8667256,255.7016852
203,37.79089596,43.22441132,49.56567474,56.96974587,65.6174654,75.71975592,87.52261431
204,10.55892406,10.62115551,10.67951801,10.73422225,10.78547213,10.83346412,10.87838684
205,12686.05025,13265.65818,13849.26625,14436.02121,15025.08878,15615.65692,16206.93874
206,27138.28585,27549.14649,27939.85305,28311.28593,28664.28826,28999.66734,29318.19597
207,428.3226843,433.1949215,437.7791293,442.0902958,446.1429195,449.9509783,453.5279089
208,75.88420693,87.11240546,100.2512721,115.6282607,133.6265737,154.6946858,179.3574829
209,2775.309375,2819.410997,2860.91824,2899.954601,2936.64232,2971.101488,3003.449349
210,86.23304506,88.51694173,90.67790967,92.71988244,94.64713495,96.46417696,98.17566499
211,113.2402977,113.682927,114.1177767,114.5444375,114.9626,115.3720386,115.7725988
212,766.87197,780.3127647,793.5924929,806.6953188,819.608455,832.3217201,844.8271556
213,73120.50759,77056.24597,80978.65859,84877.14411,88742.33503,92565.97843,96340.82931
214,63.69701414,64.90818828,66.04823895,67.12047352,68.12818721,69.0746341,69.96300419
